complex_id,complex_name,name_yandex,longitude,latitude,builder_id
49283,Нахимов,ЖК Нахимов,30.206162,59.935188000000004,1245
6955,Капитал Классик,ЖК Капитал Классик,30.588556,59.747726,8936
7555,Эстет,ЖК Эстет,37.541096,55.3535,1245
5114,Дом у Разлива,Дом у Разлива,29.967546000000002,60.07795,8131
48823,New Time (Нью Тайм),ЖК New Time,30.199803999999997,60.031612,8136
50894,Эмеральд на Малой Неве,ЖК Эмеральд на Малой Неве,30.253902000000004,59.95636,8079
47875,Муринские высоты,ЖК Муринские Высоты,30.441256,60.061115,8100
46240,Философия,ЖК Философия на Московской,30.302390999999997,59.842994999999995,8079
52456,Статус у Парка Победы,ЖК Статус у Парка Победы,30.347015000000003,59.873295,8079
1467796,Апартаменты Ramada Encore by Wyndham,ЖК Ramada Encore,30.342772999999998,59.844584999999995,15891
5630,Ласточкино гнездо,ЖК Ласточкино гнездо,30.509611,59.864844999999995,8110
6973,Старая крепость,ЖК Старая крепость,30.462529999999997,60.041878000000004,8136
414409,Панорама парк Сосновка,ЖК Панорама парк Сосновка,30.336847,60.008026,8079
6934,O`Range (Оранж),ЖК O'range,30.695749,60.04379300000001,8073
43092,Георг Ландрин,ЖК Георг Ландрин,30.334484000000003,59.987759,8081
8157,Новое Колпино,Квартал Новое Колпино,30.599946999999997,59.77423100000001,8146
8009,Елагин Апарт,Апарт-комплекс Елагин-апарт,30.249676,59.98418,9178
6939,Петровская мельница,ЖК Петровская мельница,30.121980999999998,59.736973,8121
48377,Образцовый квартал 4,ЖК Образцовый квартал 4,30.367859000000003,59.75585600000001,8163
18657,Квартал Галактика,Квартал Галактика,30.309641,59.900627,8110
48290,Jaanila Drive (Янила Драйв),ЖК Янила Драйв,30.578476000000002,59.951923,8113
50265,Мурино 2020,ЖК Мурино 2020,30.420004,60.055851000000004,9484
7074,Клубный дом Петроградец,Клубный дом Петроградец,30.326304999999998,59.964825,12915
61698,Новое Купчино,ЖК Новое Купчино,30.419378000000002,59.847267,9037
6911,Новый Петергоф,ЖК Новый Петергоф,29.941715000000002,59.859097,8081
41624,"Комплекс резиденций ""Императорский Яхтъ-клуб""",Резиденция Императорский яхтъ-клуб,30.242414,59.976967,14253
43794,Апарт-отель AVATAR (Аватар),Апарт-отель Avatar,30.271010999999998,59.957115,9037
6941,Инвест-отель Salut! (Салют),Апарт-комплекс Salut!,30.327809999999996,59.831509,8573
7334,Медалист,ЖК Медалист,30.37438,59.981014,1245
50411,Ручьи,ЖК Ручьи,30.449848,60.001751,8114
7931,Дом с фонтаном,Дом с фонтаном,30.748924,60.030613,9481
7488,Del Arte,Клубный дом Del Arte,30.286960999999998,59.975388,-1
46522,Дом на Блюхера,ЖК Дом на Блюхера,30.365471000000003,59.98806,8110
50326,Стрижи в Невском,ЖК Стрижи в Невском,30.430415999999997,59.883010999999996,8079
7399,Капитал,ЖК Капитал,30.515314,59.917377,9037
48614,БернГарден,ЖК БернGarden,30.604208,60.005848,9155
8088,Неоклассика,ЖК Неоклассика,30.374146000000003,59.753311,9071
6975,Шуваловский дуэт,ЖК Шуваловский дуэт,30.318284999999996,60.072113,8131
45384,"Днепропетровская, 37","ЖК Днепропетровская, 37",30.361096999999997,59.916462,12991
129946,Идеалист,Клубный дом Идеалист,30.319958000000003,59.910881,9144
7723,Grona Lund (Грена Лунд),ЖК Gröna Lund,30.656582,60.03522099999999,2573
675984,FoRest Аквилон (Форест Аквилон),ЖК FoRest Аквилон,30.202683,60.0313,9591
5797,Новоорловский,ЖК Новоорловский,30.276751,60.057976000000004,8165
18087,Богатырь 3,ЖК Богатырь 3,30.274942,59.995075,1245
728234,Клубный дом Б57,Клубный дом Б57,30.33428,59.875328,1301
13598,Дом на Обручевых,ЖК Дом на Обручевых,30.379492,60.012737,8110
46604,Аист,ЖК Аист,30.154678000000004,59.835381000000005,9071
46121,ЭкспоГрад 2,ЖК ЭкспоГрад – II,30.370058,59.750797,8104
7443,Сириус,ЖК Сириус,30.337318,59.827049,1245
38534,YOGA 2 (ЙОГА 2),ЖК Yoga,30.232071,60.032726000000004,1245
50738,Pulse на набережной (Пульс на набережной),ЖК Pulse на набережной,30.438409999999998,59.905354,8079
39051,СолнцеPark,ЖК СолнцеPARK,30.369721999999996,59.752410999999995,9591
41017,"Светлый мир ""Жизнь""",ЖК Светлый мир Жизнь,30.344393,59.82439399999999,8589
7450,Skandi Klubb (Сканди Клуб),ЖК Skandi Klubb,30.318832,59.974773,2573
45928,Звездный дуэт,ЖК Звездный дуэт,30.363876,59.828926,8114
8158,Новый Лиговский,ЖК Новый Лиговский,30.348925,59.907436,8146
7752,Москва,ЖК Москва,30.312341999999997,59.840675,8079
49856,Terra (Терра),ЖК Terra,30.327806,59.990372,8136
1743,Северная долина,ЖК Северная Долина,30.335372999999997,60.074814,8094
6928,Виктория,ЖК Виктория,30.436909000000004,60.052967,8115
30101,LOFT NA SREDNEM (Лофт на Среднем),Клубный дом Loft Na Srednem,30.254109999999997,59.937656000000004,9982
47359,Петербургское Садовое кольцо,ЖК Петербургское Садовое Кольцо,30.001579,60.052704000000006,9194
247838,Звезды Столиц,ЖК Звезды столиц,30.340754999999998,59.825954,9984
38967,КудроВО,ЖК КудроВО!,30.509707000000002,59.908561999999996,3362
7987,Фламинго,ЖК Фламинго,30.376738,59.980129000000005,9074
7867,LENINGRAD (Ленинград),ЖК Leningrad,30.322440999999998,60.026771999999994,1245
44868,Клубный дом G9,Клубный дом G9,30.353619000000002,59.984543,1301
6966,Невские паруса,ЖК Невские паруса,30.553688,59.827286,8079
51111,Q-мир (Ку-мир),ЖК Q-мир,30.302279,59.841339000000005,9591
7227,Ландыши,ЖК Ландыши,30.372469,59.979637,8110
18173,Коллонтай 2,"ЖК Коллонтай, 2",30.443777,59.914665,8154
7376,Новый Оккервиль,Дом у Рябиновой аллеи,30.510709999999996,59.91568,9133
48971,Магеллан,ЖК Магеллан,30.208693,59.934399,1245
6895,Riverside,ЖК Riverside,30.315323,59.98296,8079
8790,Квартал Лахта Парк,Квартал Лахта Парк,30.155525,60.004993000000006,9994
7108,Северная палитра,ЖК Северная Палитра,30.434703999999996,60.060951,7052
32027,Весна,ЖК ЦДС Весна,30.513721000000004,59.904968000000004,9995
8743,Горки Парк,ЖК Горки Парк,30.463919,60.115314,9071
8402,GreenЛандия 2,Квартал GreenЛандия 2,30.431867999999998,60.065822999999995,8079
34744,Fusion,ЖК Fusion,30.339806,59.969604000000004,8110
6956,Чистое небо,ЖК Чистое небо,30.224218,60.039562,8079
1342441,"Шкапина, 22",ЖК Шкапина 22,30.293653000000003,59.906151,15805
124670,Amster (Амстер),ЖК Amster,30.23175,60.005154000000005,5529
6961,Самоцветы,ЖК Самоцветы,30.263984999999998,59.949383,8110
762758,Высший пилотаж,ЖК Высший пилотаж,30.088676,59.554379000000004,10816
94380,Классика. Дом для Души,ЖК Классика. Дом для Души,30.280287,59.96553,9034
6879,WINGS апартаменты на Крыленко (Вингс апартаменты на Крыленко),Апарт-комплекс Wings апартаменты на Крыленко,30.463590999999997,59.89574399999999,12676
107220,ID Kudrovo (Айди Кудрово),ЖК iD Kudrovo,30.517546000000003,59.921046999999994,14557
8123,Yard Residence (Ярд Резиденс),Апарт-отель Prime Residence,30.384182,59.926739000000005,9179
6929,Астрид,ЖК Астрид,30.572258,59.748608,8146
45717,Янино-Парк,ЖК Янино-Парк,30.584568,59.948551,13070
6980,Трилогия,ЖК Трилогия,30.246145000000002,59.831078000000005,15045
7341,Привилегия,ЖК Привилегия,30.277199,59.967339,9144
30185,Браво,ЖК Браво,30.61488,59.932857999999996,10813
53198,Рыбацкая гавань,ЖК Рыбацкая гавань,30.515564,59.834202000000005,14921
166124,Acqualina Apartments (Аквалина Апартментс),Клубный дом Acqualina Apartments,30.333842999999998,59.917217,15114
7715,Васильевский Квартал,ЖК Васильевский Квартал,30.230109999999996,59.940371999999996,-1
16876,Эврика,ЖК Эврика,30.405671999999996,60.046096999999996,9923
46836,Дом на Львовской,ЖК Дом на Львовской,30.419682,59.97000500000001,8167
7080,Усадьба на Ланском,ЖК Усадьба на Ланском,30.328796,59.997395,8330
46597,Богатырь 2,ЖК Богатырь,30.27285,59.997078,1245
65669,Зеленый квартал,ЖК Зеленый квартал на Пулковских высотах,30.322775,59.761852000000005,8079
7043,О Юность,ЖК О’Юность,30.451859000000002,59.89218100000001,8589
30366,VEREN PLACE советская,ЖК Veren Place советская,30.38015,59.93709200000001,10814
7390,в Парголово,ЖК Парголово,30.239179999999998,60.072311,9054
7453,Усадьба Воронцовых,ЖК Усадьба Воронцовых,30.226025,59.843295999999995,-1
8715,Барская усадьба,ЖК Барская усадьба,30.308107,60.21963100000001,9999
406030,Апартаменты Zoom Apart,Апарт-отель Zoom Apart,30.292109000000004,59.990233999999994,-1
28969,Петровский квартал на воде,ЖК Петровский Квартал на воде,30.256418,59.960152,8079
35250,Капитан Немо,ЖК Капитан Немо,30.205071000000004,59.936057999999996,1245
35331,Три Кита 2,ЖК Три кита,30.437811,60.056675,1245
103779,Клубный дом «Family Loft»,Клубный дом Family Loft,30.287934999999997,59.960812,15008
7430,Морская Звезда,ЖК Морская Звезда,30.212290000000003,60.00239200000001,8110
47389,"Светлый мир ""Тихая гавань""",ЖК Светлый мир Тихая гавань…,30.19665,59.938534,8589
8004,Дубровка,ЖК Дубровка,37.442142,55.56853100000001,10911
8762,MASTER Серебристый бульвар 19,ЖК Master,30.282913,60.006439,10000
5111,София,ЖК София,30.406269,59.858227,8114
8113,Заповедный,ЖК Заповедный,30.276996999999998,60.12063199999999,9114
45395,Мурино 2019,ЖК Мурино 2019,30.416185,60.055282999999996,9484
6914,Гармония,ЖК Гармония,30.643532,59.93224300000001,1597
7412,Шушары,ЖК Шушары,30.374185999999998,59.80724300000001,9054
7423,Верхний,ЖК Верхний,30.625927,59.936221999999994,6143
46453,Три Кита 3,ЖК Три кита,30.437811,60.056675,1245
6963,Золотые купола,ЖК Золотые купола,30.130024,60.178470999999995,8136
6912,Юнтолово,ЖК Юнтолово,30.144655,60.03120799999999,8094
5891,На Королева,ЖК на Королева,30.236234999999997,60.03508000000001,13070
5721,Южная акватория,ЖК Южная акватория,30.160823999999998,59.867405000000005,8114
31469,Два ангела,ЖК Два ангела,30.419759999999997,59.932812,8136
7134,"Каменка, кв. 78А",ЖК Каменка,30.243129999999997,60.036114000000005,13070
47413,Заневский штиль,ЖК Заневский штиль,30.51602,59.938042,14322
7427,Нева Сити,ЖК Нева Сити,30.992128000000005,59.885166000000005,9172
7365,Прибалтийский,ЖК Прибалтийский,30.175221999999998,59.866737,5736
7387,Новая Скандинавия,Квартал Новая Скандинавия,30.290264,60.061089,6703
7375,Граф Орлов,ЖК Граф Орлов,30.317453000000004,59.855888,9034
7308,Панорамы Залива,ЖК Панорамы залива,30.250596999999996,59.907024,9997
